# kind,domain,value
# kind: exact | prefix | contains
#
# HTTP/WS 边界约定（v7）：
# - ai_session_list / ai_session_messages / ai_session_status /
#   ai_provider_list / ai_agent_list / ai_slash_commands / ai_session_config_options
#   → WS 读取已移除，Core 返回 read_via_http_required，必须通过 HTTP /api/v1/projects/:project/workspaces/:workspace/ai/... 读取
# - evo_get_snapshot / evo_get_agent_profile / evo_list_cycle_history
#   → WS 读取已移除，Core 返回 read_via_http_required，必须通过 HTTP /api/v1/evolution/... 读取
#
# 多工作区边界：所有 domain 的 HTTP 响应和 WS 事件必须携带 (project, workspace) 字段；
# 不允许仅凭 workspace 名称路由，不允许以 default 或当前选中工作区作为隐含单例。
exact,system,ping
prefix,terminal,term_
exact,terminal,spawn_terminal
exact,terminal,kill_terminal
exact,terminal,input
exact,terminal,resize
prefix,file,file_
prefix,file,watch_
exact,file,clipboard_image_upload
prefix,git,git_
exact,git,cancel_ai_task
prefix,project,list_
prefix,project,select_
prefix,project,import_
prefix,project,create_
prefix,project,remove_
prefix,project,project_
prefix,project,workspace_
prefix,project,save_project_commands
prefix,project,run_project_command
prefix,project,cancel_project_command
contains,settings,client_settings
prefix,log,log_
prefix,ai,ai_
prefix,evolution,evo_
# v1.40: 冲突向导（已由 git 前缀规则覆盖，此处作文档显式说明）
prefix,git,git_conflict_
# v1.41: 系统健康诊断与自修复域
prefix,health,health_
# v1.46: 统一协调层
prefix,coordinator,coordinator_
# v1.60: workspace sequencer operations (cherry-pick / revert / rollback)
# 已由 git 前缀规则覆盖（git_cherry_pick*、git_revert*、git_workspace_op_rollback），此处作文档显式说明
